pmcid,candidate_origin,prior_disposition,discovery_scope_flag,title,pmid,doi,ncbi_status,ncbi_pubdate,ncbi_epubdate,pmc_aws_status,pmc_aws_article_version,pmc_aws_license,pmc_aws_open_access,pmc_aws_retracted,pmc_aws_xml_url,europe_pmc_status,europe_pmc_first_publication_date,europe_pmc_electronic_publication_date,europe_pmc_first_index_date,europe_pmc_open_access,crossref_status,crossref_published_online,crossref_published_print,crossref_issued,crossref_created,crossref_deposited,crossref_relation,openalex_status,openalex_id,openalex_publication_date,openalex_updated_date,medrxiv_status,biorxiv_status,preprint_first_date,preprint_matches,unpaywall_status,computed_earliest_public_date,computed_earliest_public_source,date_lineages,date_conflict,crosscheck_disposition,human_date_review_required
PMC12589983,prior_48,E-PARA,,Outcome-Specific Cardiovascular and Hypertensive Risk Profiles in Metabolic Dysfunction-Associated Steatotic Liver Disease: Insights From a Competing Risk Cohort Analysis.,,10.1016/j.gastha.2025.100806,complete,2026,2025 Sep 16,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12589983.1/PMC12589983.1.xml?md5=c22ecf2d96675beeb4e5bd19a80ada91,complete,2025-09-16,,2025-11-10,y,complete,,2026,2026,2025-09-17,2026-01-09,{},complete_unauthenticated_compatibility,https://openalex.org/W4416168920,2025-09-17,2026-06-22T08:00:12.763002,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-09-16,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index,no,unresolved_single_lineage,yes
PMC12611492,prior_48,possible,,Association of the triglyceride-glucose index with cardiovascular outcomes across cardiovascular-kidney-metabolic syndrome stages.,,10.3904/kjim.2025.082,complete,2025 Nov,2025 Oct 31,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC12611492.1/PMC12611492.1.xml?md5=df884f59c351a3729c4d3a296c23ffbb,complete,2025-10-31,,2025-11-14,y,complete,,2025-11-01,2025-11-01,2025-10-31,2025-11-10,{},complete_unauthenticated_compatibility,https://openalex.org/W4415726793,2025-10-31,2026-06-18T10:00:31.954636,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-10-31,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12664052,prior_48,possible,,All-cause mortality and cardiovascular outcomes with glucagon-like peptide-1 receptor agonists in patients with type 2 diabetes and heart failure with reduced ejection fraction.,,10.1016/j.ahjo.2025.100676,complete,2025 Dec,2025 Nov 13,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12664052.1/PMC12664052.1.xml?md5=f45357e52d09eeb91a3a84b83db3063a,complete,2025-11-13,,2025-12-01,y,complete,,2025-12,2025-12,2025-11-17,2025-11-26,{},complete_unauthenticated_compatibility,https://openalex.org/W4416273171,2025-11-17,2026-07-22T07:51:19.307946,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-11-13,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12735050,prior_48,E-DESIGN,,Prevalence of Cardiovascular-Kidney-Metabolic (CKM) Syndrome in Lithuanian Adults: Insights from a Nationwide Real-World Study Using Electronic Health Records.,,10.3390/medicina61122106,complete,2025 Nov 26,2025 Nov 26,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12735050.1/PMC12735050.1.xml?md5=567165cef63f8adb570f121216449891,complete,2025-11-26,,2026-01-02,y,complete,2025-11-26,,2025-11-26,2025-11-26,2025-11-28,{},complete_unauthenticated_compatibility,https://openalex.org/W4416716915,2025-11-26,2026-07-22T07:51:19.307946,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-11-26,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12744298,prior_48,E-DESIGN,,Metabolic Dysfunction-Associated Steatotic Liver Disease and Liver Fibrosis are Associated with Advanced Cardiovascular-Kidney-Metabolic Syndrome in Chinese and US Populations.,,10.2147/dmso.s569698,complete,2025,2025 Dec 23,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC12744298.1/PMC12744298.1.xml?md5=b11e7f86b054eda20cd05ea61d85699c,complete,2025-12-23,,2026-01-02,y,complete,2025-12,,2025-12,2025-12-22,2025-12-22,{},complete_unauthenticated_compatibility,https://openalex.org/W7116693553,2025-12-01,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-12-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12744504,prior_48,E-PARA,,Assessment of cardiovascular event reduction with SGLT2 inhibitors compared to GLP-1 receptor agonists in type 2 diabetes mellitus.,,10.6026/973206300213000,complete,2025,2025 Sep 30,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12744504.1/PMC12744504.1.xml?md5=014e1d77e85aa92f30de239571518d11,complete,2025-09-30,,2026-01-02,y,complete,2025-09-30,2025-09-30,2025-09-30,2025-10-05,2025-10-05,{},complete_unauthenticated_compatibility,https://openalex.org/W4414829090,2025-09-30,2026-06-11T09:08:48.828518,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-09-30,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12748521,prior_48,possible,,Risk of Coronary Artery Disease Associated With Transitions in Metabolic Health in a Clinical Cohort of 69 272.,,10.1161/jaha.124.037597,complete,2025 Dec 2,2025 Nov 24,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12748521.1/PMC12748521.1.xml?md5=735b771b2d30a9e85ab7aa5a5d72e07e,complete,2025-11-24,,2025-11-24,y,complete,,2025-12-02,2025-12-02,2025-11-24,2025-12-09,{},complete_unauthenticated_compatibility,https://openalex.org/W4416574940,2025-11-24,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-11-24,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12755569,prior_48,E-DATE-PRE,,Impact of medications on outcomes in patients with acute myocardial infarction and chronic obstructive pulmonary disease: A nationwide cohort study.,,10.1097/jcma.0000000000000835,complete,2023 Feb 1,2022 Oct 28,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12755569.1/PMC12755569.1.xml?md5=9afc6835a9311752903ce461220d184a,complete,2022-10-28,,2023-01-23,y,complete,2022-10-28,2023-02,2022-10-28,2023-01-18,2025-06-03,{},complete_unauthenticated_compatibility,https://openalex.org/W4317480351,2022-10-28,2026-05-21T06:26:12.895304,not_found,not_found,,[],source_incomplete_missing_contact_email,2022-10-28,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,ineligible_pre_cutoff,no
PMC12756635,prior_48,E-SR-META,,"Dietary manganese, type 2 diabetes, and cardiovascular disease: A UK Biobank cohort study and meta-analysis of over 270,000 individuals.",,10.1016/j.jnha.2025.100754,complete,2026 Feb,2025 Dec 10,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12756635.1/PMC12756635.1.xml?md5=68f29d4f995b2f9659929f8cacfa32ac,complete,2025-12-10,,2025-12-12,y,complete,,2026-02,2026-02,2025-12-10,2026-02-05,{},complete_unauthenticated_compatibility,https://openalex.org/W4417207939,2025-12-10,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-12-10,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12797426,prior_48,E-SUBDOMAIN,,Simultaneous Pancreas-Kidney Versus Kidney Transplant Alone: Real-World Outcomes in a Propensity-Matched Global Cohort.,,10.3389/ti.2025.15709,complete,2025,2025 Dec 30,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12797426.1/PMC12797426.1.xml?md5=0bed5cde89e334c5237fdd9a90dc0ef5,complete,2025-12-30,,2026-01-15,y,complete,2025-12-30,,2025-12-30,2025-12-30,2025-12-30,{},complete_unauthenticated_compatibility,https://openalex.org/W7117531073,2025-12-30,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-12-30,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12823638,prior_48,E-PARA,,"Less intensive lipid-lowering therapy after ST-elevation myocardial infarction is associated with cardiovascular events: 2-year follow-up of ""Jena auf Ziel"".",,10.1007/s00392-025-02736-y,complete,2026 Feb,2025 Aug 27,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12823638.1/PMC12823638.1.xml?md5=6fc9d2eeaada41c7b36aec39308e5491,complete,2025-08-27,,2025-09-01,y,complete,2025-08-27,2026-02,2025-08-27,2025-08-27,2026-01-21,{},complete_unauthenticated_compatibility,https://openalex.org/W4413764368,2025-08-27,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-08-27,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12911675,prior_48,strong,,Cardiovascular complications and mortality in patients with youth-onset type 1 and type 2 diabetes: a population-based long-term follow-up study.,,10.1136/bmjph-2025-003402,complete,2026,2026 Feb 16,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC12911675.1/PMC12911675.1.xml?md5=35af5a1f1b36d774b76a6a3de11d8ac7,complete,2026-02-16,,2026-02-20,y,complete,2026-02-16,2026-01,2026-01,2026-03-04,2026-03-04,{},complete_unauthenticated_compatibility,https://openalex.org/W7129659605,2026-01-01,2026-06-11T09:08:48.828518,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-01-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12925122,prior_48,strong,,Sex-specific associations between frailty and long-term outcomes in patients with acute myocardial infarction: a national population-based study.,,10.1016/j.lanepe.2026.101612,complete,2026 May,2026 Feb 12,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12925122.1/PMC12925122.1.xml?md5=5d14121b1e20f5095fd318ba59ecae6d,complete,2026-02-12,,2026-02-24,y,complete,,2026-05,2026-05,2026-02-12,2026-05-04,{},complete_unauthenticated_compatibility,https://openalex.org/W7128703119,2026-02-12,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-02-12,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13036950,prior_48,E-PRED,,Identification of key cardiovascular disease predictive factors from the China Health and Retirement Longitudinal Study dataset using machine learning-based algorithms.,,10.1186/s12967-026-07850-7,complete,2026 Feb 24,2026 Feb 24,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC13036950.1/PMC13036950.1.xml?md5=3a6b81b69b9f00ca2f0809845405db4b,complete,2026-02-24,,2026-02-24,y,complete,2026-02-24,,2026-02-24,2026-02-24,2026-03-30,{},complete_unauthenticated_compatibility,https://openalex.org/W7131314243,2026-02-24,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-02-24,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13138023,extended_discovery,,requires_full_text_screen,Impact of acute kidney injury on clinical and functional outcomes in patients undergoing coronary artery bypass grafting: a prospective cohort study.,,10.1590/2175-8239-jbn-2025-0241en,complete,2026 Jul-Sep,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13138023.1/PMC13138023.1.xml?md5=e8b71b8bd3329eeac0a65d332a498ece,complete,2026-07-01,,2026-05-13,y,complete,2026,,2026,2026-05-01,2026-05-01,"{""is-translation-of"":[{""asserted-by"":""subject"",""id"":""10.1590/2175-8239-jbn-2025-0241pt"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1590/2175-8239-jbn-2025-0241pt"",""id-type"":""doi""}]}",complete_unauthenticated_compatibility,https://openalex.org/W7160158862,2026-01-01,2026-07-17T09:13:05.818461,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-01-01,openalex_publication_date,bibliographic_index;crossref_derived_index,yes,unresolved_date_conflict,yes
PMC13243855,prior_48,strong,,Gastrointestinal Surgery Status and the Risks of Ischemic Stroke and Safety Outcomes With Direct Oral Anticoagulants Versus Warfarin in Atrial Fibrillation: A Nationwide Population-Based Cohort Study.,,10.5853/jos.2025.05295,complete,2026 May,2026 Apr 23,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13243855.1/PMC13243855.1.xml?md5=5d55612818c446963f7fb95d27ce63b6,complete,2026-04-23,,2026-04-23,y,complete,,2026-05-31,2026-05-31,2026-04-23,2026-06-02,{},complete_unauthenticated_compatibility,https://openalex.org/W7155193524,2026-04-23,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-04-23,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13310656,prior_48+extended_discovery,strong,requires_full_text_screen,Associations of Handgrip Strength Weakness and Asymmetry With New-Onset Stroke in Middle-Aged and Older Adults: A Prospective Cohort Study in Europe.,,10.1111/ggi.70622,complete,2026 Jul,,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13310656.1/PMC13310656.1.xml?md5=43d56f49a24a9911e40122d3fd0ec00a,not_found,,,,,complete,2026-06-28,2026-07,2026-06-28,2026-06-29,2026-07-28,{},complete_unauthenticated_compatibility,https://openalex.org/W7166454428,2026-06-28,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-06-28,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13322554,extended_discovery,,requires_full_text_screen,Admission NT-proBNP provides stronger prognostic discrimination than the AHEAD score for 1-year mortality in hospitalized acute heart failure: A retrospective cohort study.,,10.1371/journal.pone.0353113,complete,2026,2026 Jul 1,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13322554.1/PMC13322554.1.xml?md5=c9c68ce830a01b95303bdc9df147fad2,not_found,,,,,complete,2026-07-01,,2026-07-01,2026-07-01,2026-07-01,{},complete_unauthenticated_compatibility,https://openalex.org/W7166868182,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13327123,extended_discovery,,requires_full_text_screen,Heart failure hospitalization in patients with and without type 2 diabetes: A population-based retrospective cohort study.,,10.1371/journal.pone.0351763,complete,2026,2026 Jul 2,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13327123.1/PMC13327123.1.xml?md5=7f761f5135f60c4cda703ef69992444e,not_found,,,,,complete,2026-07-02,,2026-07-02,2026-07-02,2026-07-02,{},complete_unauthenticated_compatibility,https://openalex.org/W7167037779,2026-07-02,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-02,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13327202,extended_discovery,,requires_full_text_screen,"Short-term effects of alcohol detoxification on cardiovascular, hematological, and oxidative stress biomarkers: A prospective cohort study.",,10.1371/journal.pone.0352164,complete,2026,2026 Jul 2,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13327202.1/PMC13327202.1.xml?md5=2ca9d5699b088b7aa5f7d6da00ae65da,not_found,,,,,complete,2026-07-02,,2026-07-02,2026-07-02,2026-07-02,{},complete_unauthenticated_compatibility,https://openalex.org/W7167035903,2026-07-02,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-02,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13329086,extended_discovery,,requires_full_text_screen,Association of Frailty and Its Trajectories With the Risk of Cardiovascular-Kidney-Metabolic Syndrome Progression: A Longitudinal Cohort Study.,,10.1111/ggi.70627,complete,2026 Jul,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13329086.1/PMC13329086.1.xml?md5=9ea48217da80e6c683cb96e6862d2761,not_found,,,,,complete,2026-07-02,2026-07,2026-07,2026-07-03,2026-07-28,{},complete_unauthenticated_compatibility,https://openalex.org/W7167254901,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13329938,extended_discovery,,requires_full_text_screen,Conjoint association of gestational diabetes mellitus and hypertensive disorders of pregnancy with long-term risk of mortality: a population-based cohort study.,,10.7189/jogh.16.04204,complete,2026 Jul 3,2026 Jul 3,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13329938.1/PMC13329938.1.xml?md5=0b9de3cd70eee9f660a0119bc3b1867a,not_found,,,,,complete,2026-07-03,,2026-07-03,2026-07-03,2026-07-03,{},complete_unauthenticated_compatibility,https://openalex.org/W7167205857,2026-07-03,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-03,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13331199,extended_discovery,,requires_full_text_screen,Leucocytosis and outcomes in older ICU patients after ischaemic stroke: a binational multicentre cohort study.,,10.1136/bmjno-2025-001538,complete,2026,2026 Jul 1,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13331199.1/PMC13331199.1.xml?md5=aff73248821004931c954ec498e0002f,not_found,,,,,complete,2026-07-01,2026-07,2026-07,2026-07-01,2026-07-01,{},complete_unauthenticated_compatibility,https://openalex.org/W7166862769,2026-07-01,2026-07-10T07:45:09.275182,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13331347,extended_discovery,,exclude_title:prediction_or_ml,Development of a predictive model for postoperative body mass index and diabetes outcomes after metabolic bariatric surgery: retrospective cohort study.,,10.1093/bjsopen/zrag054,complete,2026 Jul 3,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13331347.1/PMC13331347.1.xml?md5=2155501a38aa19ae30100d32e23a5c34,not_found,,,,,complete,2026-07-03,2026-07-03,2026-07-03,2026-04-19,2026-07-03,{},complete_unauthenticated_compatibility,https://openalex.org/W7167261122,2026-04-19,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-04-19,openalex_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13335360,extended_discovery,,requires_full_text_screen,Comparative performance of insulin resistance-related indices in predicting adverse cardiovascular events among individuals with NAFLD and MASLD: a multi-center cohort study.,,10.1186/s12933-026-03208-x,complete,2026 Jul 4,2026 Jul 4,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC13335360.1/PMC13335360.1.xml?md5=fed69b1f873b7fbd9fdf619e1288d94b,not_found,,,,,complete,2026-07-04,,2026-07-04,2026-07-04,2026-07-06,{},complete_unauthenticated_compatibility,https://openalex.org/W7167335781,2026-07-04,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-04,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13336533,prior_48+extended_discovery,strong,requires_full_text_screen,Health-Related Digital Engagement and Incident Stroke Among Older Adults: Prospective Cohort Study.,,10.2196/93631,complete,2026 Jul 6,2026 Jul 6,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13336533.1/PMC13336533.1.xml?md5=d8383ef521790fb4af41273978774f88,not_found,,,,,complete,2026-07-06,,2026-07-06,2026-06-09,2026-07-06,{},complete_unauthenticated_compatibility,https://openalex.org/W7164016267,2026-06-09,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-06-09,openalex_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13337000,extended_discovery,,requires_full_text_screen,Association between hemoglobin glycation index and new-onset diabetes mellitus in individuals with chronic liver disease: Findings from a prospective cohort study using CHARLS data.,,10.1097/md.0000000000049567,complete,2026 Jul 3,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13337000.1/PMC13337000.1.xml?md5=ef21cd2cfdb16a502d0abb9f36c08c19,not_found,,,,,complete,,2026-07-03,2026-07-03,2026-07-03,2026-07-09,{},complete_unauthenticated_compatibility,https://openalex.org/W7167286958,2026-07-03,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-03,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13337053,extended_discovery,,requires_full_text_screen,"Mortality trends and projections for type 2 diabetes with concomitant Parkinson's versus Alzheimer's disease among older United States adults, 1999-2023: A retrospective cohort study.",,10.1097/md.0000000000049321,complete,2026 Jul 3,,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13337053.1/PMC13337053.1.xml?md5=020efc23a9032a7ce73e792d927c03c6,not_found,,,,,complete,,2026-07-03,2026-07-03,2026-07-03,2026-07-09,{},complete_unauthenticated_compatibility,https://openalex.org/W7167212627,2026-07-03,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-03,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13337222,extended_discovery,,requires_full_text_screen,Major cardiovascular events in first-degree relatives of individuals with elevated plasma lipoprotein(a): a registry-based cohort study.,,10.1093/eurheartj/ehaf677,complete,2026 Jul 7,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13337222.1/PMC13337222.1.xml?md5=b4b5342c00f4e7efccdf91bbcbb23edf,not_found,,,,,complete,2025-08-31,2026-07-07,2025-08-31,2025-08-18,2026-07-06,{},complete_unauthenticated_compatibility,https://openalex.org/W4413857068,2025-08-18,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-08-18,openalex_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,yes,unresolved_date_conflict,yes
PMC13337675,extended_discovery,,requires_full_text_screen,Occupational particle exposure and diabetes: a cohort study in Swedish construction workers.,,10.1007/s00420-026-02224-4,complete,2026 Jul 6,2026 Jul 6,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13337675.1/PMC13337675.1.xml?md5=7705ad4c25c9d422fb0974d7175c253f,not_found,,,,,complete,2026-07-06,2026-07,2026-07,2026-07-06,2026-07-17,{},complete_unauthenticated_compatibility,https://openalex.org/W7167485901,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13340667,extended_discovery,,requires_full_text_screen,Yiqi Fumai Lyophilized Injection for Improving Exercise Tolerance in Chronic Heart Failure: Protocol for a Prospective Cohort Study.,,10.2196/91051,complete,2026 Jul 7,2026 Jul 7,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13340667.1/PMC13340667.1.xml?md5=24f1b452dc1b02f7a315cdf605c0e8f8,not_found,,,,,complete,2026-07-07,,2026-07-07,2026-07-07,2026-07-07,{},complete_unauthenticated_compatibility,https://openalex.org/W7167634076,2026-07-07,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-07,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13341244,prior_48+extended_discovery,strong,requires_full_text_screen,Renal and Cardiovascular Complications Following Type 2 Diabetes Mellitus in People With and Without HIV: Data From the Cohort Study on Morbidity and HIV in Sweden (COSMOHS) Between 2010 and 2024.,,10.1093/cid/ciag261,complete,2026 Jul 8,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13341244.1/PMC13341244.1.xml?md5=edcbff2a864733df94a00e89e154bdca,not_found,,,,,complete,2026-04-18,2026-07-08,2026-04-18,2026-04-16,2026-07-08,{},complete_unauthenticated_compatibility,https://openalex.org/W7154837697,2026-04-16,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-04-16,openalex_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13343042,extended_discovery,,requires_full_text_screen,Income level and the risk of incident dementia among adults aged ≥50 with newly diagnosed type 2 diabetes: a population-based cohort study using the NHIS-Senior database in South Korea.,,10.1136/bmjopen-2025-112641,complete,2026 Jul 6,2026 Jul 6,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13343042.1/PMC13343042.1.xml?md5=83da86ba4f4f13cb9c39d36803c13c1f,not_found,,,,,complete,2026-07-06,2026-07,2026-07,2026-07-06,2026-07-06,{},complete_unauthenticated_compatibility,https://openalex.org/W7167546413,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13343054,extended_discovery,,requires_full_text_screen,"Clinical, procedural and patient-reported outcomes of the Ultimaster Nagomi sirolimus-eluting coronary stent in complex percutaneous coronary intervention: the NAGOMI COMPLEX prospective cohort study protocol.",,10.1136/bmjopen-2026-116572,complete,2026 Jul 7,2026 Jul 7,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13343054.1/PMC13343054.1.xml?md5=ab469b789141695f2272478dfc236a1b,not_found,,,,,complete,2026-07-07,2026-07,2026-07,2026-07-07,2026-07-07,{},complete_unauthenticated_compatibility,https://openalex.org/W7167640413,2026-07-01,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13343087,extended_discovery,,requires_full_text_screen,"Understanding the impact of the follow-up period on the association between excess body weight, and cardiovascular events and mortality: a prospective cohort study of the UK Biobank.",,10.1136/bmjopen-2025-113148,complete,2026 Jul 3,2026 Jul 3,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13343087.1/PMC13343087.1.xml?md5=1f2bdef35c7b790198bea1dbfed65f9e,not_found,,,,,complete,2026-07-03,2026-07,2026-07,2026-07-03,2026-07-03,{},complete_unauthenticated_compatibility,https://openalex.org/W7167243504,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13344933,extended_discovery,,requires_full_text_screen,App-Based Digital Therapeutics Integrating Continuous Glucose Monitoring for Glycemic Control in Type 2 Diabetes: Prospective Observational Cohort Study.,,10.2196/86651,complete,2026 Jul 8,2026 Jul 8,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13344933.1/PMC13344933.1.xml?md5=6f0014a932ce9cf1b4384831b0480c00,not_found,,,,,complete,2026-07-08,,2026-07-08,2026-07-08,2026-07-08,{},complete_unauthenticated_compatibility,https://openalex.org/W7167719249,2026-07-08,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-08,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
